timestamp,local_time,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6,effort_7,effort_8,effort_9,effort_10,effort_11,effort_12,effort_13,effort_14,effort_15
1742509506.16941,2025-03-20 22:25:06.169,-0.0130666017462306,0.0130009429206937,0.00984368610236713,0.0147056179951639,-0.0195987496638072,-0.00971682286241918,-0.0176506595562921,0.0163006371488741,-0.0126593204114664,-0.00709135362810368,-0.0146356855570689,0.015138715564005,1.538561717278,0.0233690969506233,0.0338956846148531,-0.00195877124245949,-0.0012007671966282,-0.0037797292237417,0.00518669274099535,-0.00905443861485946,0.00136139166904381,0.0132728698701865,-0.00215875412079318,-0.00435867217789733,-0.00950512938485489,0.0051595900779679,-0.00483185642720857,0.0103467470913496,-0.00589936702897226,-0.00476617938130751,-0.0164660750324679,-0.0298397037992139,0.0197199793390088,-0.0255861156267759,-0.0183410381131803,-0.0179402263737814,0.0292619853288064,0.0179736300391179,0.0320302376958209,-0.0206242009104096,0.019939493555685,0.0136151523476309,0.0269240567739891,-0.021025407355082,-0.0839508729572526,-0.0390601997026765,-0.0624258717643248,0.00582877003311086
1742509506.17607,2025-03-20 22:25:06.176,-0.0129882242774142,0.0130198395093979,0.00984729592689622,0.0146994919316593,-0.0195881604337568,-0.00971792008744805,-0.0176381905688831,0.0163133508014647,-0.0126905975810762,-0.00707748063727065,-0.0146575324688023,0.0150836188957493,1.53851425999949,0.0234126004065756,0.0339004214843336,-0.00193862591401383,0.0199537794971896,0.0041900625,0.00865321905331412,-0.00580002291085459,0.0067765702469858,-0.00275154340066304,-0.000547528588556763,0.00347192652354671,-0.0129034001038342,-0.0067217970045585,-0.00953393499265331,-0.013070119044996,-0.00638547605483046,0.0210479873056816,0.00637861191401502,0.00460316309869378,0.0174869584664023,-0.0265005858937958,-0.0187635189548109,-0.018355336532746,0.0287045836259366,0.019738509948969,0.0318144464546164,-0.0216587064899652,0.0203262363819977,0.0148943589450427,0.0275276306429626,-0.0179095890886246,-0.0837735505906605,-0.042748138913974,-0.0651762342499156,0.00201386574736166
1742509506.17941,2025-03-20 22:25:06.179,-0.0130122083234302,0.0130311774626204,0.00981395655796073,0.014713568925383,-0.019599559527553,-0.0097008257906389,-0.0176307091764377,0.0163032263611927,-0.0126916112510156,-0.00701589894729143,-0.0146351353521894,0.0151038187902752,1.5385567961597,0.0233854445846677,0.0339210162378483,-0.00189103345329349,0.0105322938502644,0.00319475484518494,-0.00745539040390869,0.00268798507568298,-0.00194127871933,0.0046982281019541,0.00544348954385263,0.00147529645587859,-0.00248006689608259,0.0156327120081721,0.000947168196291523,-0.00662929357328066,-0.011923130148901,-0.0049701092930977,-0.00558201355842098,0.000296460379827636,0.0184650831001188,-0.0264137779582111,-0.0167704749558603,-0.0194770776628367,0.0295934671632625,0.0188848464900628,0.0310820577723256,-0.0213859828088147,0.0192854235661317,0.0123121995736839,0.026229583450386,-0.0187731562628313,-0.083036482028995,-0.0390594404929013,-0.0637800892249013,0.0024257328475005
1742509506.18274,2025-03-20 22:25:06.182,-0.0130621040146927,0.0130202276027274,0.00981170556842591,0.0147042624897908,-0.0195886463520043,-0.00970832184437987,-0.017643972972797,0.0162616464333765,-0.0126922194529793,-0.00701445519695683,-0.0146216970822217,0.0151691966224702,1.5386355757513,0.0234046563551758,0.0339156204581307,-0.00188023060868776,-0.017991622465488,0.00125979205931926,-0.00460830785119295,0.00105434604977275,-0.000509907676477116,0.0023691262266728,-0.00285905337590377,-0.00693911620619537,-0.00152453610214372,0.00946626135621854,0.00670391753998694,0.0159332135754341,0.0295488082508025,-0.00182923783732607,0.0123147172500936,0.0168138215233428,0.0213923182685878,-0.02617903233198,-0.0171080730810235,-0.0192526062231985,0.0294339602956541,0.0191560398038257,0.032102237756143,-0.020238055256584,0.0191907827896833,0.0129876216447296,0.0255145846432006,-0.0217912733740177,-0.0894305878904724,-0.0395318225065732,-0.0659174449404596,0.000594779423726385
1742509506.18607,2025-03-20 22:25:06.186,-0.0130565361657973,0.0129781524231387,0.00984586023835796,0.0146986786284355,-0.0195998510785015,-0.00971281947662446,-0.0176519312506125,0.0162366984766868,-0.0126925843741575,-0.00704909421040901,-0.0146313867520675,0.0151729180581342,1.53859408034712,0.0234161834174807,0.0339301356221266,-0.00190925416557726,0.000192211696086171,-0.00709810254342221,0.00461317590149441,-0.00502918853365213,0.00434729293540527,-0.00417506623549854,-0.00219351807896175,-0.0109885456986461,-0.000936643957785083,-0.00705385122515939,-0.00188609822225642,0.00978348989202467,-0.000742565256420644,0.0102476366127267,-0.0130445886086218,-0.0129606737450002,0.0195655830790873,-0.0251755135665009,-0.0182761295372237,-0.0184544877075913,0.0289650473242117,0.0198848962391538,0.032036698420578,-0.0196791970788688,0.0191325409570147,0.0148741120555856,0.0265628279403923,-0.0209966471615377,-0.0847955919752109,-0.0412421809354989,-0.0629019070490059,0.00390770452720045
1742509506.18941,2025-03-20 22:25:06.189,-0.01305319545646,0.0129529073153855,0.00986635304031718,0.0146953283116222,-0.0196420791780528,-0.00969776542414474,-0.0176567062173019,0.016221729702673,-0.0126928033268644,-0.00705212498665385,-0.014637200553975,0.0151396456558797,1.53853367784097,0.0233875943912107,0.03400985524783,-0.00185565777240508,0.000315495886991736,-0.0111038630463873,0.00932815805091206,0.00211410563441199,-0.0105865772040816,0.00372933337484085,-0.00160221765489883,-0.0021576642430988,-0.000575105599170386,-0.00441390901046404,-0.00148001074636965,-0.00678825089660474,-0.0147294675593454,-0.00622914399529269,0.0236117096953564,0.00609971497695312,0.0195482435959908,-0.0246843896956683,-0.0188788144386804,-0.0193787605375825,0.0305217764874873,0.018985304177057,0.0319743373097312,-0.020807752261872,0.0190967155502136,0.0145897799644587,0.0265245622867194,-0.018799066736085,-0.0825646711162287,-0.0388868303057172,-0.0674521301343198,0.00174138645666176
1742509506.19274,2025-03-20 22:25:06.192,-0.0130156857672047,0.01295551288256,0.00984314345783978,0.0146755654897079,-0.0196674160377836,-0.00968873299265691,-0.017641818565489,0.0162305010700911,-0.0126929346984885,-0.00705394345240076,-0.0146229362032931,0.015119682214527,1.5385151889691,0.0234059462391016,0.0340044291277726,-0.00185900520015471,0.00244040114355016,-0.00118742998053959,-0.0011145208093658,-0.00523609863544456,-0.00787251067722524,0.00277967167479712,-6.78641999639735E-05,-0.00608671191391077,-0.000352947486068717,0.00256103886889966,-3.19468010655739E-05,-0.00527103497471451,-0.00994727027246322,-0.00263612000671697,0.0085228655257446,0.0140959717920059,0.0192794885364521,-0.0257804084672606,-0.0175839157269877,-0.0183975423140124,0.0302883751243979,0.0190717021010861,0.0317634171218759,-0.0203083788423101,0.0190746967963397,0.0138261726292225,0.0263251187820554,-0.0189703523321723,-0.083241325191153,-0.0394210518055324,-0.0656311592058574,0.000866149863080479
1742509506.19607,2025-03-20 22:25:06.196,-0.0129931799536515,0.0129748288546912,0.00981146507652687,0.0146814604283857,-0.0196648655217955,-0.00968331353376422,-0.0176506386062277,0.016271269154195,-0.012693013521463,-0.00707278716367537,-0.0146321302247103,0.0151254567815419,1.53853960090963,0.0234347099796627,0.0339834208239118,-0.0019142715522839,0.0134697781515888,0.000447476888720343,-0.00789804233233008,-0.00278766483275476,-0.00457034650173066,0.00199324452765817,0.0047566585425838,0.00945016982779456,-0.000216501855129424,-0.00492197744626112,0.0047557512340325,-0.00281585502167353,0.000824613870143601,0.0107996574611847,-0.00680189185953118,-0.0161692938007418,0.0181427921153184,-0.0259988801671416,-0.0167128720578688,-0.0187235021286433,0.0299543329328664,0.019147370169486,0.0312003504660999,-0.0223811719780668,0.0190611704677075,0.0146869918464395,0.0257671442563947,-0.0192970326631869,-0.0849108140817162,-0.0413509590099924,-0.0637522725422886,0.00426717533605067
1742509506.19941,2025-03-20 22:25:06.199,-0.0129796764655196,0.0130041710697964,0.0098102106795656,0.0146849973915924,-0.0196455825803763,-0.0096800618584286,-0.0176736832624975,0.0163312352683102,-0.0126753081834213,-0.00708409339044013,-0.0146553992693872,0.0151466741535773,1.53853649544213,0.0234342155921728,0.0339708158415952,-0.00192967873173494,-0.00176942382386269,0.00735724101480701,-0.00481400135893078,0.00386964827157446,0.00374369511236064,0.00139081948892298,-0.00918762441606277,0.00926386870831856,0.000931179085001347,-0.00363076818389097,-0.00920161638942474,0.00491232034956197,0.00563893488730497,0.00111988874605254,0.000493725908305044,-0.00529465081820107,0.0196464570806657,-0.0268176386512215,-0.0170806990601464,-0.0195935508843748,0.0290940043593283,0.0192071335730757,0.032915144802423,-0.0224349087808847,0.0189198443666318,0.0145675712811083,0.0274839126516279,-0.0203292780450935,-0.0856261302057752,-0.0399949509311411,-0.0646037972080275,0.00309099394125754
1742509506.20607,2025-03-20 22:25:06.206,-0.012953821740814,0.013004023767033,0.0098272106732153,0.0146871195695164,-0.0195985075518718,-0.00969586348505369,-0.0176697574244328,0.0163494623049529,-0.0126646849805962,-0.00709087712649899,-0.0146516080643668,0.0151238993131455,1.53855238479345,0.0234161663278524,0.0340165107476847,-0.0019744283030585,0.0111286725574688,0.00440550702282824,0.00345110445952326,-0.00287046127744409,0.00507053350252812,-0.000113543713029352,4.25327466412658E-05,0.0172910168136124,0.0065156303738068,-0.00258545837483248,2.60601098485551E-05,0.0015809914197264,-0.00630248565163435,-0.000410951574346995,-0.00228182249648614,-0.00586158864757526,0.0183178653554742,-0.0264926533065771,-0.0181031117469303,-0.0187200954743036,0.0288907079775548,0.0194042167785406,0.0318004594343821,-0.0235021331822084,0.0183454644335136,0.0144661546742296,0.0263697673026784,-0.0198665979916536,-0.0838698736978432,-0.0397499495369405,-0.0643575517210226,0.00321153154520933
